course_code,course_name,credits,day,start_time,end_time,room,lecturer,exam_date,exam_session
BIT3107,,3,F,9:30,12:30,KMB 203,ASST.PROF.DR.VARAPORN; ASST.PROF.DR.VARAPORN,,
BIT3201,,3,W,13:30,16:30,KMB 207,ASSOC.PROF.DR.ORATAI,,
BIT3601,,3,F,7:30,9:20,KMB 207,ASST.PROF.DR.VARAPORN,,
BIT3601,,3,F,9:30,12:30,KMB 203,ASST.PROF.DR.VARAPORN; ASST.PROF.DR.VARAPORN,,
BIT3701,,3,TH,9:30,11:20,KMB 204,DR.CHOMPOONUTH,,
BIT3701,,3,TH,13:30,16:30,KMB 201,DR.CHOMPOONUTH; DR.CHOMPOONUTH,,
BIT4201,,3,TU,13:30,16:30,KMB 204,ASSOC.PROF.DR.ORATAI,,
BIT4203,,3,TU,13:30,15:20,KMB 209,DR.CHOMPOONUTH,,
BIT4206,,3,TH,7:30,9:20,KMB 207,DR.CHOMPOONUTH,,
BIT4209,,1,TH,7:30,9:20,KMB 207,DR.CHOMPOONUTH,,
BIT4404,,3,TH,9:30,11:20,KMB 209,ASST.PROF.DR.SANYA,,
BIT4404,,3,TH,13:30,16:30,KMB 203,ASST.PROF.DR.SANYA; ASST.PROF.DR.SANYA,,
BIT4405,,3,TU,13:30,15:20,KMB 208,ASST.PROF.DR.THORNTHAN,,
BIT4405,,3,TU,15:30,18:30,KMB 203,ASST.PROF.DR.THORNTHAN; ASST.PROF.DR.THORNTHAN,,
BIT4500,,3,TH,13:30,15:20,KMB 207,ASST.PROF.DR.THORNTHAN,,
BIT4503,,3,F,13:30,15:20,KMB 207,ASST.PROF.DR.SANYA; ASST.PROF.DR.VARAPORN; ASST.PROF.DR.THORNTHAN,,
BIT4503,,3,F,15:30,18:30,KMB 203,ASST.PROF.DR.SANYA; ASST.PROF.DR.VARAPORN; ASST.PROF.DR.THORNTHAN; ASST.PROF.DR.SANYA; ASST.PROF.DR.VARAPORN; ASST.PROF.DR.THORNTHAN,,
BIT4504,,3,M,11:30,13:20,KMB 201,ASST.PROF.DR.SANYA,,
BIT4506,,3,TH,11:30,13:20,KMB 208,ASST.PROF.DR.THORNTHAN; ASST.PROF.DR.SANYA; DR.CHOMPOONUTH,,
BIT4600,,3,W,9:30,11:20,KMB 204,ASST.PROF.DR.VARAPORN,,
BIT4600,,3,W,13:30,16:30,KMB 203,ASST.PROF.DR.VARAPORN; ASST.PROF.DR.VARAPORN,,
BIT4603,,3,TU,13:30,15:20,KMB 207,DR.THANASAN,,
BIT4605,,3,TH,13:30,15:20,KMB 208,ASST.PROF.DR.VARAPORN,,
BIT4607,,3,TU,9:30,11:20,KMB 205,ASST.PROF.DR.VARAPORN,,
BIT4607,,3,TU,13:30,16:30,KMB 205,ASST.PROF.DR.VARAPORN; ASST.PROF.DR.VARAPORN,,
BIT4608,,3,M,13:30,15:20,KMB 205,DR.THANASAN,,
BIT4608,,3,M,15:30,18:30,KMB 208,DR.THANASAN; DR.THANASAN,,
BIT4609,,3,TH,9:30,11:20,KMB 205,DR.THANASAN,,
BIT4609,,3,TH,13:30,16:30,KMB 205,DR.THANASAN; DR.THANASAN,,
BIT4610,,3,TU,9:30,11:20,KMB 205,ASST.PROF.DR.VARAPORN,,
BIT4610,,3,TU,13:30,16:30,KMB 205,ASST.PROF.DR.VARAPORN; ASST.PROF.DR.VARAPORN,,
BIT4900,,1,M,13:30,15:20,KMB 209,ASST.PROF.DR.SANYA,,
BIT4908,,3,TU,9:30,12:30,KMB 203,ASSOC.PROF.DR.ORATAI,,
BIT4908,,3,TH,9:30,12:30,KMB 203,ASSOC.PROF.DR.ORATAI; ASSOC.PROF.DR.ORATAI,,
